REGIONAL;COD_ESCOLA;ESCOLA;QUANTIDADE
CENTRO;101;ESCOLA MUNICIPAL PROFESSOR ALEXANDRE LEAL COSTA;361
CENTRO;103;ESCOLA MUNICIPAL COSME DE FARIAS;187
CENTRO;106;CENTRO MUNICIPAL DE EDUCACAO INFANTIL ABRIGO DO SALVADOR;169
CENTRO;109;CENTRO MUNICIPAL DE EDUCACAO INFANTIL CSU MAJOR COSME DE FARIAS;129
CENTRO;110;ESCOLA MUNICIPAL SANTA ANGELA DAS MERCES;346
CENTRO;111;ESCOLA MUNICIPAL LUIZ ANSELMO;258
CENTRO;112;CENTRO MUNICIPAL DE EDUCACAO INFANTIL PAROQUIAL DE SANTANA;142
CENTRO;113;ESCOLA MUNICIPAL JOIR BRASILEIRO;249
CENTRO;115;ESCOLA MUNICIPAL CLEMILDA ANDRADE;259
CENTRO;120;ESCOLA MUNICIPAL OLGA FIGUEIREDO DE AZEVEDO;731
CENTRO;121;ESCOLA MUNICIPAL SEBASTIAO DIAS;232
CENTRO;124;ESCOLA MUNICIPAL LELIS PIEDADE;535
CENTRO;125;ESCOLA MUNICIPAL SATURNINO CABRAL;254
CENTRO;126;ESCOLA MUNICIPAL JOAO LINO;116
CENTRO;127;ESCOLA MUNICIPAL AMELIA RODRIGUES;276
CENTRO;128;ESCOLA MUNICIPAL TEREZINHA VAZ DA SILVEIRA;278
CENTRO;130;ESCOLA MUNICIPAL CASA DA PROVIDENCIA;213
CENTRO;133;ESCOLA SAO JOSE ANEXA AO COLEGIO SANTISSIMO SACRAMENTO;131
CENTRO;134;ESCOLA MUNICIPAL DESPORTIVA SANTA RITA;151
CENTRO;135;ESCOLA MUNICIPAL PERMINIO LEITE;242
CENTRO;136;ESCOLA MUNICIPAL PAROQUIAL DA VITORIA;155
CENTRO;138;ESCOLA MUNICIPAL MARTAGAO GESTEIRA;714
CENTRO;139;ESCOLA MUNICIPAL MARIA QUITERIA;316
CENTRO;140;ESCOLA MUNICIPAL VIVALDO DA COSTA LIMA;93
CENTRO;141;ESCOLA MUNICIPAL NOSSA SENHORA DOS ANJOS;709
CENTRO;142;ESCOLA MUNICIPAL DR FERNANDO MONTANHA PONDE;302
CENTRO;143;ESCOLA MUNICIPAL SOROR JOANA ANGELICA;137
CENTRO;144;ESCOLA MUNICIPAL RUY DE LIMA MALTEZ;274
CENTRO;146;ESCOLA MUNICIPAL PROFESSOR ARISTIDES NOVIS;210
CENTRO;147;ESCOLA MUNICIPAL JOAO PEDRO DOS SANTOS;422
CENTRO;149;ESCOLA MUNICIPAL COMUNITARIA DA HISTARTE;444
CENTRO;150;CENTRO MUNICIPAL DE EDUCACAO INFANTIL VIRGEM DE LA ALMUDENA;129
CENTRO;151;CENTRO MUNICIPAL DE EDUCACAO INFANTIL DRº ELIEZER AUDIFACE;48
CENTRO;152;CENTRO MUNICIPAL DE EDUCACAO INFANTIL LUIS EDUARDO MAGALHAES;211
CENTRO;154;CENTRO MUNICIPAL DE EDUCACAO INFANTIL IACY VAZ FAGUNDES;195
CENTRO;155;CENTRO MUNICIPAL DE EDUCACAO INFANTIL IEDA BARRADAS CARNEIRO;172
CENTRO;158;CENTRO MUNICIPAL DE EDUCACAO INFANTIL NOSSA SENHORA DA VITORIA;136
CENTRO;159;ESCOLA MUNICIPAL SANTA RITA;229
CENTRO;161;ESCOLA MUNICIPAL HILDETE LOMANTO;936
CENTRO;162;ESCOLA MUNICIPAL VISCONDE DE CAIRU;444
CIDADE BAIXA;202;ESCOLA MUNICIPAL CARMELITANA 25 DE AGOSTO;187
CIDADE BAIXA;204;ESCOLA MUNICIPAL CONSTANCA MEDEIROS;293
CIDADE BAIXA;205;ESCOLA MUNICIPAL SIMOES FILHO;324
CIDADE BAIXA;207;ESCOLA MUNICIPAL HENRIQUETA MACHADO;158
CIDADE BAIXA;212;ESCOLA MUNICIPAL HILBERTO SILVA;283
CIDADE BAIXA;213;ESCOLA MUNICIPAL PRESIDENTE CASTELO BRANCO;77
CIDADE BAIXA;215;ESCOLA MUNICIPAL SOCIEDADE 6 DE JANEIRO;275
CIDADE BAIXA;217;ESCOLA MUNICIPAL TIRADENTES;288
CIDADE BAIXA;221;CENTRO MUNICIPAL DE EDUCACAO INFANTIL BARONESA DE SAUIPE;146
CIDADE BAIXA;226;ESCOLA MUNICIPAL PROFESSOR FREIRE FILHO;180
CIDADE BAIXA;227;ESCOLA MUNICIPAL SOCIEDADE TOME DE SOUZA;161
CIDADE BAIXA;228;ESCOLA MUNICIPAL ALMERINDA COSTA;274
CIDADE BAIXA;230;ESCOLA MUNICIPAL MELVIN JONES;110
CIDADE BAIXA;232;ESCOLA MUNICIPAL GERALDO TAVARES;188
CIDADE BAIXA;233;ESCOLA MUNICIPAL UNIAO COMUNITARIA;224
CIDADE BAIXA;234;ESCOLA MUNICIPAL PRIMEIRO DE MAIO;103
CIDADE BAIXA;237;ESCOLA MUNICIPAL SANTA BARBARA;663
CIDADE BAIXA;238;ESCOLA MUNICIPAL CENTRO SOCIAL MANGUEIRA;375
CIDADE BAIXA;239;ESCOLA MUNICIPAL CARMELITANA DO MENINO JESUS;185
CIDADE BAIXA;240;CENTRO MUNICIPAL DE EDUCACAO INFANTIL DR AUGUSTO LOPES PONTES;127
CIDADE BAIXA;241;ESCOLA MUNICIPAL ELOYNA BARRADAS;322
CIDADE BAIXA;242;CENTRO MUNICIPAL DE EDUCACAO INFANTIL ARLETE MAGALHAES;100
CIDADE BAIXA;244;CENTRO MUNICIPAL DE EDUCACAO INFANTIL MARIA DA CONCEICAO COSTA;297
CIDADE BAIXA;245;CENTRO MUNICIPAL DE EDUCACAO INFANTIL NOSSA SENHORA DAS GRACAS;174
CIDADE BAIXA;246;ESCOLA MUNICIPAL PROFESSORA MARIA JOSE DE PAULA MOREIRA;429
CIDADE BAIXA;247;ESCOLA MUNICIPAL ALFREDO AMORIM;332
SAO CAETANO;301;ESCOLA MUNICIPAL ANTONIO CARLOS MAGALHAES;320
SAO CAETANO;303;ESCOLA MUNICIPAL ASSISTENCIA SOCIAL SAO JOSE;311
SAO CAETANO;305;ESCOLA MUNICIPAL BATISTA DE SAO CAETANO;224
SAO CAETANO;306;CENTRO MUNICIPAL DE EDUCACAO INFANTIL CASA DA CRIANCA DO BOM JUA;127
SAO CAETANO;307;ESCOLA MUNICIPAL AMAI PRO;321
SAO CAETANO;308;ESCOLA MUNICIPAL COMUNITARIA DO BOM JUA;205
SAO CAETANO;310;ESCOLA MUNICIPAL CONSUL SCHINDLER;400
SAO CAETANO;312;ESCOLA MUNICIPAL FONTE DO CAPIM;514
SAO CAETANO;313;ESCOLA MUNICIPAL HELENA MAGALHAES;639
SAO CAETANO;314;ESCOLA MUNICIPAL MARECHAL RONDON;285
SAO CAETANO;315;ESCOLA MUNICIPAL XAVIER MARQUES;356
SAO CAETANO;316;ESCOLA MUNICIPAL FAZENDA GRANDE;329
SAO CAETANO;317;ESCOLA MUNICIPAL PROFESSOR ANTONIO CARVALHO GUEDES;409
SAO CAETANO;328;ESCOLA MUNICIPAL BATISTA DE SAN MARTIM;196
SAO CAETANO;329;ESCOLA MUNICIPAL BELA VISTA DO LOBATO;475
SAO CAETANO;330;ESCOLA MUNICIPAL CAMPINAS DE PIRAJA;1144
SAO CAETANO;332;ESCOLA MUNICIPAL COMUNITARIA REGINA STUKENBORG;259
SAO CAETANO;333;ESCOLA MUNICIPAL CONEGO EMILIO LOBO;113
SAO CAETANO;335;ESCOLA MUNICIPAL ASSISTENCIAL NOSSA SENHORA DE GUADALUPE;124
SAO CAETANO;336;ESCOLA MUNICIPAL ENG CARLOS BATALHA;214
SAO CAETANO;337;ESCOLA MUNICIPAL ENGENHEIRO GILBERTO PIRES MARINHO;545
SAO CAETANO;338;ESCOLA MUNICIPAL EDUCADOR PAULO FREIRE;297
SAO CAETANO;340;ESCOLA MUNICIPAL PROFESSORA MARIA DE LOURDES SANTANA ALVES;132
SAO CAETANO;341;ESCOLA MUNICIPAL PROFESSOR GUEDES;119
SAO CAETANO;342;ESCOLA MUNICIPAL CRIANCA FELIZ;174
SAO CAETANO;343;ESCOLA MUNICIPAL BARBOSA RODRIGUES;181
SAO CAETANO;344;ESCOLA MUNICIPAL AUSTRICLIANO DE CARVALHO;257
SAO CAETANO;345;ESCOLA MUNICIPAL PADRE NORBERTO;877
SAO CAETANO;346;ESCOLA MUNICIPAL FRANCISCO MANGABEIRA;529
SAO CAETANO;347;ESCOLA MUNICIPAL FILHOS DE SALOMAO;367
SAO CAETANO;348;ESCOLA MUNICIPAL JAQUEIRA DO CARNEIRO;242
SAO CAETANO;349;CENTRO MUNICIPAL DE EDUCACAO INFANTIL ANGELINA ROCHA DE ASSIS;230
SAO CAETANO;350;CENTRO MUNICIPAL DE EDUCACAO INFANTIL YOLANDA PIRES;241
SAO CAETANO;351;CENTRO MUNICIPAL DE EDUCACAO INFANTIL FRUTO DO AMANHA;142
SAO CAETANO;352;CENTRO MUNICIPAL DE EDUCACAO INFANTIL LINDAURA ANDRADE MENDONCA;220
SAO CAETANO;353;CENTRO MUNICIPAL DE EDUCACAO INFANTIL MOSA BERBERT;178
SAO CAETANO;354;CENTRO MUNICIPAL DE EDUCACAO INFANTIL SEMENTE DO AMANHA;245
SAO CAETANO;355;CENTRO MUNICIPAL DE EDUCACAO INFANTIL TEREZA HELENA MATA PIRES;160
SAO CAETANO;356;ESCOLA MUNICIPAL DO CALAFATE;239
SAO CAETANO;357;ESCOLA MUNICIPAL 15 DE OUTUBRO;256
LIBERDADE;401;ESCOLA MUNICIPAL ABRIGO FILHOS DO POVO;634
LIBERDADE;403;ESCOLA MUNICIPAL GISELIA PALMA;228
LIBERDADE;406;ESCOLA MUNICIPAL DR MARCOS VINICIUS VILACA;233
LIBERDADE;408;ESCOLA MUNICIPAL DA CIDADE NOVA;294
LIBERDADE;409;ESCOLA MUNICIPAL DO PAU MIUDO;810
LIBERDADE;414;ESCOLA MUNICIPAL PERO VAZ VELHO;166
LIBERDADE;415;ESCOLA MUNICIPAL PIRAJA DA SILVA;433
LIBERDADE;422;ESCOLA MUNICIPAL ZACARIAS BOA MORTE;148
LIBERDADE;425;ESCOLA MUNICIPAL NOSSA SENHORA DE NAZARE;489
LIBERDADE;427;ESCOLA MUNICIPAL MANOEL FLORENCIO;183
LIBERDADE;429;ESCOLA MUNICIPAL MAJOR ELOI MAGALHAES;225
LIBERDADE;431;ESCOLA MUNICIPAL BARAO DO RIO BRANCO;175
LIBERDADE;432;ESCOLA MUNICIPAL JOSAFA CARLOS BORGES;143
LIBERDADE;433;ESCOLA MUNICIPAL MINISTRO SIMOES FILHO;172
LIBERDADE;434;ESCOLA MUNICIPAL SAO JUDAS TADEU;237
LIBERDADE;435;ESCOLA MUNICIPAL CARDEAL DA SILVA;371
LIBERDADE;437;ESCOLA MUNICIPAL VILA VICENTINA;305
LIBERDADE;438;ESCOLA MUNICIPAL JULIETA VIANA;425
LIBERDADE;439;CENTRO MUNICIPAL DE EDUCACAO INFANTIL HOSANNAH DE OLIVEIRA;193
LIBERDADE;440;CENTRO MUNICIPAL DE EDUCACAO INFANTIL JOSE ADEODATO DE SOUZA FILHO;179
LIBERDADE;441;CENTRO MUNICIPAL DE EDUCACAO INFANTIL JOSE DA SILVA TAVARES;90
LIBERDADE;443;ESCOLA MUNICIPAL PROFESSORA SUZANA IMBASSAHY;358
LIBERDADE;444;CENTRO MUNICIPAL DE EDUCACAO INFANTIL EPIFANIA SILVA;74
LIBERDADE;445;CENTRO MUNICIPAL DE EDUCACAO INFANTIL DA SANTA MONICA;158
ORLA;501;ESCOLA MUNICIPAL ARTUR DE SALES;376
ORLA;502;ESCOLA MUNICIPAL PROFESSORA ANITA BARBUDA;177
ORLA;504;ESCOLA MUNICIPAL CIDADE DE JEQUIE;541
ORLA;505;CENTRO MUNICIPAL DE EDUCACAO INFANTIL DE AMARALINA;202
ORLA;506;ESCOLA MUNICIPAL VALE DAS PEDRINHAS;427
ORLA;507;ESCOLA MUNICIPAL HERCILIA MOREIRA;125
ORLA;508;ESCOLA MUNICIPAL MADRE JUDITE;273
ORLA;510;ESCOLA MUNICIPAL OSWALDO DA GAMA ALVES;134
ORLA;511;ESCOLA MUNICIPAL MAKOTA VALDINA;357
ORLA;513;ESCOLA MUNICIPAL SANTO ANDRE;245
ORLA;514;ESCOLA MUNICIPAL SAO JOAO BATISTA;219
ORLA;515;ESCOLA MUNICIPAL TEODORO SAMPAIO;939
ORLA;516;CENTRO MUNICIPAL DE EDUCACAO INFANTIL TERTULIANO DE GOES;176
ORLA;519;ESCOLA MUNICIPAL CONJUNTO ASSISTENCIAL NOSSA SENHORA DE FATIMA;235
ORLA;520;CENTRO MUNICIPAL DE EDUCACAO INFANTIL SAO GONCALO;228
ORLA;522;ESCOLA MUNICIPAL OSVALDO CRUZ;388
ORLA;524;ESCOLA MUNICIPAL CASA DA AMIZADE;128
ORLA;530;ESCOLA MUNICIPAL SAO PEDRO NOLASCO;233
ORLA;532;ESCOLA MUNICIPAL CRISTO E VIDA;185
ORLA;534;ESCOLA MUNICIPAL SENHORA SANTANA;114
ORLA;535;ESCOLA MUNICIPAL SAO DOMINGOS SAVIO;307
ORLA;537;ESCOLA MUNICIPAL COMUNITARIA CRISTO REDENTOR;235
ORLA;539;ESCOLA MUNICIPAL CENTRO SOCIAL NEUSA NERY;139
ORLA;540;ESCOLA MUNICIPAL PADRE JOSE DE ANCHIETA;347
ORLA;541;ESCOLA MUNICIPAL ANA NERY;174
ORLA;544;ESCOLA MUNICIPAL SANTA TEREZINHA DO CHAME CHAME;163
ORLA;546;ESCOLA MUNICIPAL PROFESSOR ANTONIO CARLOS ONOFRE;236
ORLA;547;ESCOLA MUNICIPAL MARIA AMALIA PAIVA;273
ORLA;548;ESCOLA MUNICIPAL IACY VAZ FAGUNDES;599
ORLA;550;ESCOLA MUNICIPAL JOSE CALAZANS BRANDAO DA SILVA;231
ORLA;551;ESCOLA MUNICIPAL ZULMIRA TORRES;396
ORLA;553;CENTRO MUNICIPAL DE EDUCACAO INFANTIL DALIA DE MENEZES;180
ORLA;556;CENTRO MUNICIPAL DE EDUCACAO INFANTIL NOVA ESPERANCA;65
ORLA;557;CENTRO MUNICIPAL DE EDUCACAO INFANTIL PIO BITTENCOURT;135
ORLA;558;CENTRO MUNICIPAL DE EDUCACAO INFANTIL CALABAR;263
ORLA;560;ESCOLA MUNICIPAL SENADOR ANTONIO CARLOS MAGALHAES;509
ORLA;561;ESCOLA MUNICIPAL HOSPITALAR E DOMICILIAR IRMA DULCE;221
ORLA;562;CENTRO MUNICIPAL DE EDUCACAO INFANTIL VALE DAS PEDRINHAS;238
ITAPUA;601;ESCOLA MUNICIPAL AGNELO DE BRITO;516
ITAPUA;602;CENTRO MUNICIPAL DE EDUCACAO INFANTIL ASSOCIACAO CRISTA FEMININA;95
ITAPUA;603;INSTITUTO MUNICIPAL DE EDUCACAO PROFESSOR JOSE ARAPIRACA;656
ITAPUA;604;ESCOLA MUNICIPAL DE PITUACU;295
ITAPUA;605;ESCOLA MUNICIPAL CIDADE VITORIA DA CONQUISTA;473
ITAPUA;606;ESCOLA MUNICIPAL UNIAO CARIDADE E ABRIGO;220
ITAPUA;607;CIEP - ENGº LEONEL DE MOURA BRIZOLA - ESCOLA MUNICIPAL PIRATINI;182
ITAPUA;609;ESCOLA MUNICIPAL BRIGADEIRO EDUARDO GOMES;425
ITAPUA;610;ESCOLA MUNICIPAL MANUEL LISBOA;341
ITAPUA;611;ESCOLA MUNICIPAL LAGOA DO ABAETE;522
ITAPUA;612;ESCOLA MUNICIPAL DE SAO CRISTOVAO;322
ITAPUA;615;ESCOLA MUNICIPAL PE MANUEL CORREIA DE SOUZA;698
ITAPUA;617;ESCOLA MUNICIPAL ANJOS DE RUA;493
ITAPUA;620;ESCOLA MUNICIPAL PADRE UGO MEREGALLI;399
ITAPUA;621;ESCOLA MUNICIPAL BARBOSA ROMEO;698
ITAPUA;622;ESCOLA MUNICIPAL NOVA DO BAIRRO DA PAZ;918
ITAPUA;623;ESCOLA MUNICIPAL RECANTO DOS COQUEIROS;224
ITAPUA;625;CENTRO MUNICIPAL DE EDUCACAO INFANTIL IRMA SHEILA;255
ITAPUA;626;ESCOLA MUNICIPAL DO PARQUE SAO CRISTOVAO PROFESSOR JOAO FERNANDES DA CUNHA;552
ITAPUA;627;ESCOLA MUNICIPAL DE NOVA ESPERANCA PROFESSOR ARX TOURINHO;1507
ITAPUA;628;ESCOLA MUNICIPAL RAYMUNDO LEMOS DE SANTANA;596
ITAPUA;630;ESCOLA MUNICIPAL TERESA CRISTINA;207
ITAPUA;631;ESCOLA MUNICIPAL JULIETA CALMON;284
ITAPUA;632;ESCOLA MUNICIPAL PEDRO VELOSO GORDILHO;298
ITAPUA;633;ESCOLA MUNICIPAL DO PESCADOR;668
ITAPUA;634;ESCOLA MUNICIPAL OSVALDO GORDILHO;369
ITAPUA;635;ESCOLA MUNICIPAL LAURA SALES DE ALMEIDA;239
ITAPUA;637;ESCOLA MUNICIPAL CARLOS MURION;326
ITAPUA;638;CENTRO MUNICIPAL DE EDUCACAO INFANTIL JOAQUIM SANTOS;109
ITAPUA;639;ESCOLA MUNICIPAL NOSSA SENHORA DA PAZ;1037
ITAPUA;640;ESCOLA MUNICIPAL DORIVAL CAYMMI;445
ITAPUA;641;ESCOLA MUNICIPAL CELIA NOGUEIRA;531
ITAPUA;642;ESCOLA MUNICIPAL PADRE CONFA;288
ITAPUA;643;ESCOLA MUNICIPAL METODISTA SUSANA WESLEY;673
ITAPUA;647;ESCOLA MUNICIPAL ALLAN KARDEC;194
ITAPUA;648;CENTRO MUNICIPAL DE EDUCACAO INFANTIL ALMIR OLIVEIRA;286
ITAPUA;649;CENTRO MUNICIPAL DE EDUCACAO INFANTIL GEORGIA MARIA BARRADAS CARNEIRO;111
ITAPUA;650;CENTRO MUNICIPAL DE EDUCACAO INFANTIL JOSE MARIA DE MAGALHAES NETO;229
ITAPUA;651;CENTRO MUNICIPAL DE EDUCACAO INFANTIL RAUL QUEIROZ;175
ITAPUA;652;CENTRO MUNICIPAL DE EDUCACAO INFANTIL UNIAO DA BOCA DO RIO;245
ITAPUA;653;ESCOLA MUNICIPAL YVES DE ROUSSAN;24
ITAPUA;654;ESCOLA MUNICIPAL 25 DE JULHO;379
